,_id,地区,天气,日期,最低温,最高温,风力风向
0,61b07e1303b7968d1fb4b23e,53698,晴,2013-12-01 周日,1°,11°,北风微风
1,61b07e1303b7968d1fb4b23f,53698,晴~多云,2013-12-02 周一,2°,10°,南风~西北风微风
2,61b07e1303b7968d1fb4b240,53698,晴,2013-12-03 周二,2°,14°,西风~西北风3-4级~微风
3,61b07e1303b7968d1fb4b241,53698,多云~阴,2013-12-04 周三,3°,14°,西风~西北风3-4级~微风
4,61b07e1303b7968d1fb4b242,53698,晴,2013-12-05 周四,1°,10°,北风~西北风3-4级~微风
5,61b07e1303b7968d1fb4b243,53698,晴,2013-12-06 周五,0°,10°,南风~北风微风
6,61b07e1303b7968d1fb4b244,53698,晴~霾,2013-12-07 周六,1°,9°,南风~北风微风
7,61b07e1303b7968d1fb4b247,53698,雾~多云,2013-12-08 周日,0°,6°,南风~西北风微风~3-4级
8,61b07e1303b7968d1fb4b248,53698,晴,2013-12-09 周一,-2°,8°,西北风3-4级~微风
9,61b07e1403b7968d1fb4b24a,53698,晴,2013-12-10 周二,-2°,9°,西北风微风~3-4级
10,61b07e1403b7968d1fb4b24b,53698,晴,2013-12-11 周三,-2°,10°,西北风~北风微风
11,61b07e1403b7968d1fb4b24e,53698,晴,2013-12-12 周四,-4°,9°,北风微风
12,61b07e1403b7968d1fb4b24f,53698,晴,2013-12-13 周五,-4°,5°,北风微风
13,61b07e1403b7968d1fb4b252,53698,晴,2013-12-14 周六,-5°,4°,北风微风
14,61b07e1403b7968d1fb4b253,53698,多云,2013-12-15 周日,-4°,4°,北风微风
15,61b07e1403b7968d1fb4b255,53698,霾~阴,2013-12-16 周一,-2°,4°,北风~东北风微风
16,61b07e1403b7968d1fb4b256,53698,阴,2013-12-17 周二,-5°,2°,东北风~北风微风
17,61b07e1403b7968d1fb4b259,53698,多云~晴,2013-12-18 周三,-6°,1°,北风微风
18,61b07e1403b7968d1fb4b25a,53698,晴~多云,2013-12-19 周四,-7°,1°,北风微风
19,61b07e1403b7968d1fb4b25d,53698,晴,2013-12-20 周五,-6°,1°,北风微风
20,61b07e1403b7968d1fb4b25e,53698,霾,2013-12-21 周六,-5°,1°,北风微风
21,61b07e1403b7968d1fb4b263,53698,霾,2013-12-22 周日,-6°,1°,北风微风
22,61b07e1403b7968d1fb4b264,53698,晴~霾,2013-12-23 周一,-5°,1°,南风~北风微风
23,61b07e1403b7968d1fb4b267,53698,多云~阴,2013-12-24 周二,-4°,3°,南风~北风微风
24,61b07e1403b7968d1fb4b268,53698,霾~晴,2013-12-25 周三,-6°,3°,南风~西北风微风~3-4级
25,61b07e1403b7968d1fb4b26b,53698,晴,2013-12-26 周四,-5°,5°,西北风3-4级~微风
26,61b07e1403b7968d1fb4b26c,53698,晴,2013-12-27 周五,-4°,5°,西北风微风
27,61b07e1403b7968d1fb4b26e,53698,晴,2013-12-28 周六,-5°,5°,西北风微风
28,61b07e1403b7968d1fb4b26f,53698,晴,2013-12-29 周日,0°,8°,西南风~西北风3-4级~微风
